Nom productor,Núm. acreditació,Persona jurídica,Persona física,NIF,Adreça,Codi postal,Municipi,Comarca,Productes,Grups Productes,Venda directa,Venda circuit curt,Telèfon,Correu electrònic,Marca Comercial
L'ESPIGALL SCP,VP/P/0629/2013,X,,J65939241,"CAN DRAPER, 0",8480,AMETLLÀ DEL VALLÈS,VALLÈS ORIENTAL,ALTRES FRUITERS DE LLAVOR,FRUITA DOLÇA,Venda directa,Venda circuit curt,670267274,l.espigall@gmail.com,
"LIMIÑANA BARABES, MARIA VICTORIA",VP/P/0647/2013,,X,,,25520,SUDANELL,ALTA RIBAGORÇA,"Carn, embotits i derivats carnis de cabrum",,Venda directa,,,,
"LLAGOSTERA QUERALT, MARIA ISABEL",VP/P/1319/2013,,X,,,43530,ALCANAR,MONTSIÀ,"OLIVERES, GARROFER, TARONGER, MANDARINER","ALTRES FRUITS SECS, CÍTRICS, OLIVERAR",Venda directa,,,,
"LLAGOSTERA QUERALT, RAMONA",VP/P/1159/2013,,X,,,43530,ALCANAR,MONTSIÀ,"OLIVERES, AMETLLERS, GARROFER, MANDARINER","ALTRES FRUITS SECS, CÍTRICS, OLIVERAR",Venda directa,,,,
"LLAMBRICH CASANOVA, ADRIA",VP/P/3425/2020,,X,,,43519,PERELLÓ,BAIX EBRE,Mel,,Venda directa,Venda circuit curt,,,
"LLANES VALLS, JORDI",VP/P/0186/2013,,X,,,25265,CASTELLNOU DE SEANA,PLA D'URGELL,"Altres productes elaborats, Conserves vegetals, sucs, melmelades, fruits secs torrats, BLAT TOU, BLAT DE MORO, ORDI, CEBA, CALÇOT, PORRO I ALL","CEREALS D'ESTIU, CEREALS, HORTÍCOLES",Venda directa,Venda circuit curt,,,
"LLAO VALLDEPEREZ, JUAN GUILLERMO",VP/P/1080/2013,,X,,,43519,PERELLÓ,BAIX EBRE,"Olis, OLIVES, AMETLLES, GARROFES","FRUITS DE CLOSCA, NO ADMISSIBLES, OLIVERAR",Venda directa,Venda circuit curt,,,
"LLAURADÓ BOSCH, JOSEP M.",VP/P/0787/2013,,X,,,43206,REUS,BAIX CAMP,"OLIVERES, ALTRES FRUITERS DE LLAVOR","FRUITA DOLÇA, OLIVERAR",Venda directa,,,,
"LLAURADÓ BOZAL, JORDI",VP/P/2124/2016,,X,,,43202,REUS,BAIX CAMP,"OLIVES, AMETLLES, ALTRES FRUITES, GARROFES, CEBES, CALÇOTS, PORROS I ALLS, AVELLANES","FRUITA DOLÇA, FRUITS DE CLOSCA, HORTÍCOLES, NO ADMISSIBLES, OLIVERAR",Venda directa,Venda circuit curt,,,CASANOVA
"LLAVINA PARES, JOAN",VP/P/0221/2013,,X,,,8490,TORDERA,MARESME,"ORDI, TOMÀQUET, MONGETA","CEREALS, HORTÍCOLES, LLEGUMINOSES, NO ADMISSIBLES",Venda directa,Venda circuit curt,,,
"LLEIXA MIRALLES, SALVADOR",VP/P/2524/2017,,X,,,43519,PERELLÓ,BAIX EBRE,"Olis, Mel, OLIVES, AMETLLES, GARROFES, TARONGES","CÍTRICS, FRUITS DE CLOSCA, NO ADMISSIBLES, OLIVERAR",Venda directa,Venda circuit curt,,,TÒFONA DE LA CONCA
"LLENAS MARTI, JORGE",VP/P/0241/2013,,X,,,17257,GUALTA,BAIX EMPORDÀ,"Olis, BLAT DE MORO, CIVADA, OLIVES, PRESSECS, POMES, HORTA","CEREALS D'ESTIU, CEREALS, FRUITA DOLÇA, HORTÍCOLES, OLIVERAR",Venda directa,,,,
"LLEONART SUBIRANA, ANA MARIA",VP/P/1002/2013,,X,,,8225,TERRASSA,VALLÈS OCCIDENTAL,Ous de gallina,,Venda directa,Venda circuit curt,,,
"LLETERA CAMPLLONG, SCCL",VP/AP/0162/2020,X,,F17445487,"Finca VEïNAT MAS CANYET, S/N",17459,CAMPLLONG,GIRONÈS,Llet de vaca,,,Venda circuit curt,616136833,cooperativa@lleteracampllong.com,
"LLETERS DE CATALUNYA, SCCL",VP/AP/0051/2013,X,,F63174858,CR VALENCIA 1 SUBSÒL PAVELL,8015,BARCELONA,BARCELONÈS,Llet de vaca,,,Venda circuit curt,,,TARONGES NOSTRES.CAT
"LLIBERIA CUGAT, ROSALIA",VP/P/3410/2020,,X,,,43500,TORTOSA,BAIX EBRE,"Mel, OLIVES, GARROFES","FRUITS DE CLOSCA, OLIVERAR",Venda directa,,,,HORTICOLAS ANTONIO JOSE ESPINOLA GARCIA
"LLINAS CASALS, JORDI",VP/P/1686/2014,,X,,,17455,CALDES DE MALAVELLA,LA SELVA,"Carn, embotits i derivats carnis de boví, ORDI, CIVADA","CEREALS D'ESTIU, CEREALS",,Venda circuit curt,,,HORTICOLAS JOAN MANEL ESPINOLA
"LLOBET BISCARRI, SL",VP/P/0391/2013,X,,B25681891,"CASA LLOBET, s/n",25650,ISONA I CONCA DELLÀ,PALLARS JUSSÀ,"BLAT DE MORO, CIVADA, NOUS","CEREALS D'ESTIU, CEREALS, FRUITS DE CLOSCA",Venda directa,,607940094,francesc25657@gmail.com,RUBIOLET
"LLOBET PONT, ROSA MARIA",VP/P/2303/2016,,X,,,25318,PUIGVERD D'AGRAMUNT,URGELL,"Carn, embotits i derivats carnis de boví, BLAT TOU, ORDI",CEREALS,,Venda circuit curt,,,
LLONCH CALAFELL SA,VP/P/2540/2017,X,,A58811423,C/ Moreres 9,8170,MONTORNÈS DEL VALLÈS,VALLÈS ORIENTAL,HORTA,HORTÍCOLES,Venda directa,,935720877,ESTEVE@LLONCH.COM,
"LLOP MANUEL, LLORENÇ",VP/P/0016/2013,,X,,,25337,BELLCAIRE D'URGELL,LA NOGUERA,"PRESSECS, PERES, POMES, HORTA","FRUITA DOLÇA, HORTÍCOLES",,Venda circuit curt,,,
"LLOP SELMA, MARIA ROSA",VP/P/0987/2013,,X,,,25691,ÀGER,LA NOGUERA,"Mel, OLIVES",OLIVERAR,Venda directa,,,,
"LLOP SERRA, Mª JOSE",VP/P/1251/2013,,X,,,43791,ASCÓ,RIBERA D'EBRE,"Carn, embotits i derivats carnis de xai, Olis, CIVADA, OLIVES","CEREALS, OLIVERAR",Venda directa,Venda circuit curt,,,
"LLOP VALLVERDU, JOSEP",VP/P/1309/2013,,X,,,8784,PIERA,ANOIA,"Carn, embotits i derivats carnis de xai, Carn, embotits i derivats carnis de pollastres/gallina",,Venda directa,,,,
"LLOREDA FONT, JOAQUIM",VP/P/1003/2013,,X,,,17411,VIDRERES,LA SELVA,"Carn, embotits i derivats carnis de cabrum, Carn, embotits i derivats carnis de xai, BLAT TOU","CEREALS D'ESTIU, CEREALS, NO ADMISSIBLES",Venda directa,Venda circuit curt,,,
"LLORENÇ CEOLPE, SCCL",VP/AP/0094/2016,X,,F43129436,Ctra de l'hostal sn,43712,LLORENÇ DEL PENEDÈS,BAIX PENEDÉS,Olis,,,Venda circuit curt,977678334,ceolpe@ceolpe.com,
"LLORENS BOIXADER, MARIA PILAR",VP/P/0745/2013,,X,,,8619,ESPUNYOLA,BERGUEDÀ,"Llet de cabra, Ous de gallina, Formatges i altres derivats lactis de llet de vaca, ORDI","CEREALS D'ESTIU, CEREALS",Venda directa,,,,
"LLORENS CAMPALANS, MARIA",VP/P/0213/2013,,X,,,8560,MANLLEU,OSONA,Formatges i altres derivats lactis de llet d'ovella,,Venda directa,,,,
"LLORENS MOLNE, JUAN MARIA",VP/P/0801/2013,,X,,,43460,ALCOVER,ALT CAMP,"Mel, OLIVES, AMETLLES","FRUITS DE CLOSCA, NO ADMISSIBLES, OLIVERAR",Venda directa,Venda circuit curt,,,
"LLORENS ROMERA, CB",VP/P/0555/2013,X,,E17284134,FINCA MAS LLORENÇ,17300,BLANES,LA SELVA,"PRESSEGUERS, NECTARINS, PERERES, POMERES, PRUNERES, ALTRES FRUITERS DE LLAVOR",FRUITA DOLÇA,Venda directa,,650229930,jlls603@gmail.com,FRUTURGELL
"LLORET GRAU, JOSEP",VP/P/1021/2013,,X,,,8289,SANT MARTÍ SESGUEIOLES,ANOIA,"Carn, embotits i derivats carnis de xai, BLAT TOU, ORDI, PÈSOLS","CEREALS, PROTEAGINOSES",Venda directa,Venda circuit curt,,,AVINYO
"LLOVERAS PLA, JORDI",VP/P/3276/2019,,X,,,25200,CERVERA,SEGARRA,"Farines, pastes i cereals, Conserves vegetals, sucs, melmelades, fruits secs torrats, CARABASSA, CIGRONS","HORTÍCOLES, LLEGUMINOSES",Venda directa,Venda circuit curt,,,
"LLUCH MOLINARI, PERE",VP/P/2419/2016,,X,,,8736,FONT-RUBÍ,ALT PENEDÈS,"Olis, OLIVES",OLIVERAR,Venda directa,,,,
"LLUIS ESCUBEDO, JUAN MANUEL",VP/P/2988/2018,,X,,,43593,PAÜLS,BAIX EBRE,"Olis, OLIVES, AMETLLES, CIRERES, ALTRES FRUITES, GARROFES","FRUITA DOLÇA, FRUITS DE CLOSCA, NO ADMISSIBLES, OLIVERAR",Venda directa,,,,
"LLUSA FONT, GABRIEL",VP/P/3042/2018,,X,,,8849,SANT CLIMENT DE LLOBREGAT,BAIX LLOBREGAT,"CIRERES, MELÓ, SÍNDRIA, CEBES, CALÇOTS, PORROS I ALLS, CARXOFA, CARABASSA, TOMÀQUET, MONGETA","FRUITA DOLÇA, HORTÍCOLES, LLEGUMINOSES, NO ADMISSIBLES",Venda directa,Venda circuit curt,,,
"LLUSA MUNS, PEDRO",VP/P/1979/2016,,X,,,8849,SANT CLIMENT DE LLOBREGAT,BAIX LLOBREGAT,"Conserves vegetals, sucs, melmelades, CIGRONS, CIRERES, CARXOFES, CARABASSES","FRUITA DOLÇA, HORTÍCOLES, LLEGUMINOSES",Venda directa,Venda circuit curt,,,
"LOISEAU, NICOLAS PHILIPPE MARIE",VP/P/2690/2017,,X,,,8430,ROCA DEL VALLÈS,VALLÈS ORIENTAL,"PEBROT, MELÓ, CEBA, CALÇOT, PORRO I ALL, COL I COLIFLOR, ALBERGÍNIA, CARBASSÓ, Carxofa, COGOMBRE, BLEDA, CARABASSA, RAVE, TOMÀQUET",HORTÍCOLES,Venda directa,Venda circuit curt,,,FANECA
"LOPEZ AYMERIICH, MARIA PILAR",VP/P/1939/2015,,X,,,8620,SANT VICENÇ DELS HORTS,BAIX LLOBREGAT,"PATATA, PRESSECS, PERES, PRUNES, CEBA, CALÇOT, PORRO I ALL","FRUITA DOLÇA, HORTÍCOLES",Venda directa,,,,
"LOPEZ CARRASCO, SUSANA",VP/P/1501/2014,,X,,,8295,SANT VICENÇ DE CASTELLET,BAGES,"ORDI, PRESSECS, ENCIAMS","CEREALS, FRUITA DOLÇA, HORTÍCOLES",Venda directa,Venda circuit curt,,,FARGAS FARGAS
"LOPEZ MESTRE, MARTA",VP/P/0722/2013,,X,,,8317,ÒRRIUS,MARESME,Ous de gallina,,Venda directa,Venda circuit curt,,,L'EIXAM
"LOPEZ RIBAS, JOAN ALBERT",VP/P/2019/2016,,X,,,8788,VILANOVA DEL CAMÍ,ANOIA,HORTA,HORTÍCOLES,Venda directa,,,,
"LÓPEZ RUIZ, RAFAEL",VP/P/2300/2016,,X,,,25132,BENAVENT DE SEGRIÀ,SEGRIÀ,"Ous de gallina, FESTUCS, HORTA, TOMÀQUET, FIGUES","FRUITA DOLÇA, FRUITS DE CLOSCA, HORTÍCOLES, NO ADMISSIBLES",Venda directa,,,,BURGUM
"LÓPEZ SAPERAS, LUÍS",VP/P/0813/2013,,X,,,43205,REUS,BAIX CAMP,OLIVERES,OLIVERAR,,Venda circuit curt,,,
"LOROPANCHEZ, SL",VP/P/3331/2019,X,,B65130551,Carrer Buenos Aires 11 Pis 2 Porta 4,8029,BARCELONA,BARCELONÈS,"Carn, embotits i derivats carnis de xai, ESPELTA, PATATA, MONGETA","CEREALS, HORTÍCOLES, LLEGUMINOSES",Venda directa,Venda circuit curt,626488500,pitu@ametrino.com,DGUST
"L'ORTIGA PRODUCTES ECOLÒGICS, SL",VP/P/0553/2013,X,,B65930711,Av Can Monmany 100,8174,SANT CUGAT DEL VALLÈS,VALLÈS OCCIDENTAL,"BLAT DE MORO, PATATA, OLIVES, ALBERCOCS, PRUNES, PEBROT, MELÓ, ENCIAMS, CEBA, CALÇOT, PORRO I ALL, COL I COLIFLOR, ALBERGÍNIA, CARBASSÓ, Carxofa, COGOMBRE, BLEDA, ESPINAC, CARABASSA, RAVE, TOMÀQUET, KIWI, MAGRANES, MONGETA","CEREALS D'ESTIU, FRUITA DOLÇA, HORTÍCOLES, LLEGUMINOSES, OLIVERAR",Venda directa,,607694843,produccio@lortiga.cat,CAL TONET
"LUZ DE VIDA, S.L.",VP/P/3020/2018,X,,B60348273,Lloc CAN SALA,17153,SANT MARTÍ DE LLÉMENA,GIRONÈS,"ALTRES FRUITERS, HORTA","FRUITA DOLÇA, HORTÍCOLES",Venda directa,Venda circuit curt,646967810,info@cansala.es,ZAIT D'OR
"M. ASSUMPTA CODINACHS RAMON FONT, CB",VP/P/0423/2013,X,,E25423443,C CASA MESTREPERE (POBELLA),25512,TORRE DE CABDELLA,PALLARS JUSSÀ,"Carn, embotits i derivats carnis de boví",NO ADMISSIBLES,Venda directa,Venda circuit curt,660837859,aixalda1@gmail.com,
"MACIA GALLEMI, MANEL",VP/P/3298/2019,,X,,,8560,MANLLEU,OSONA,"Altres productes elaborats, BLAT TOU, PATATA, ALTRES FRUITES, HORTA","CEREALS, FRUITA DOLÇA, HORTÍCOLES, NO ADMISSIBLES",Venda directa,,,,
"MACIA PARRIS, MARIA DEL MAR",VP/P/1060/2013,,X,,,8560,MANLLEU,OSONA,PRODUCTES D'HORTA,HORTÍCOLES,Venda directa,Venda circuit curt,,,JORDI FARRE
"MACIA ROS, JORDI",VP/P/3372/2019,,X,,,25730,ARTESA DE SEGRE,LA NOGUERA,"BLAT TOU, BLAT DE MORO, ORDI, CIVADA, PATATA, OLIVES, TOMÀQUET","CEREALS D'ESTIU, CEREALS, HORTÍCOLES, OLIVERAR",Venda directa,,,,GRANJA LA ROCA
"MACIA-COSTA, SCP",VP/AP/0138/2019,X,,J64420896,Casa Verdaguer 0,8610,AVIÀ,BERGUEDÀ,Llet de cabra,,,Venda circuit curt,639988359,casaverdaguer@gmail.com,CASA CARLA
"MAGRI CORTÉS, JOSEP",VP/P/1466/2014,,X,,,25122,IVARS DE NOGUERA,LA NOGUERA,"Conserves vegetals, sucs, melmelades, fruits secs torrats, OLIVES, PRESSECS, NECTARINES, PERES, POMES, PRUNES, KIWI, CAQUI, MAGRANA","FRUITA DOLÇA, NO ADMISSIBLES, OLIVERAR",Venda directa,Venda circuit curt,,,EL TUPINET DE LA VALL DE BOI
"MAGRÍ SANS, GEMA",VP/P/1702/2014,,X,,,25122,IVARS DE NOGUERA,LA NOGUERA,"Conserves vegetals, sucs, melmelades, OLIVES, PRÉSSECS, NECTARINES, PERES, POMES, ALTRES FRUITERS, HORTA","FRUITA DOLÇA, HORTÍCOLES, OLIVERAR",Venda directa,Venda circuit curt,,,
"MAGUGLIANI, BARBARA",VP/P/0318/2013,,X,,,17751,SANT CLIMENT SESCEBES,ALT EMPORDÀ,"Vins, caves i vinagres, OLIVES, RAÏM VI","OLIVERAR, VINYA",Venda directa,,,,
"MALAGARRIGA AUGUETS, JOSEP",VP/P/2010/2016,,X,,,8261,CARDONA,BAGES,"BLAT TOU, ORDI, TÒFONA","ALTRES PRODUCTES, CEREALS D'ESTIU, CEREALS, OLEAGINOSES",Venda directa,,,,
"MALLOFRE ABANTE, ALEIX",VP/P/2395/2016,,X,,,43700,VENDRELL,BAIX PENEDÉS,"Altres productes elaborats, Farines, pastes i cereals, BLAT TOU, ESPELTA, OLIVES, AMETLLES, GARROFES, BLAT KHORASAN, CIGRONS , LLENTIES , MONGETA","CEREALS, FRUITS DE CLOSCA, LLEGUMINOSES, OLIVERAR",Venda directa,Venda circuit curt,,,
"MALLOFRÉ BESER VITICULTORS, SCP",VP/P/2145/2016,X,,J64856891,Av Pla del Diable 52,8720,VILAFRANCA DEL PENEDÈS,ALT PENEDÈS,"GIRA-SOL, OLIVES, RAÏM VI, AMETLLES, ALTRES FRUITES","FRUITA DOLÇA, FRUITS DE CLOSCA, OLEAGINOSES, OLIVERAR, VINYA",Venda directa,,660952179,quimmallo@hotmail.com,
"MALLOFRÉ SOGAS, JOAQUIM",VP/P/2146/2016,,X,,,8730,SANTA MARGARIDA I ELS MONJOS,ALT PENEDÈS,"Vins, caves i vinagres, RAÏM VI",VINYA,Venda directa,,,,
"MALLOL TARRIDAS, ALBERT",VP/P/1126/2013,,X,,,25560,SORT,PALLARS SOBIRÀ,"Carn, embotits i derivats carnis de xai, ORDI",CEREALS,Venda directa,Venda circuit curt,,,ROIA
"MALLORQUI PUJOLRAS, XAVIER",VP/P/2217/2016,,X,,,8225,TERRASSA,VALLÈS OCCIDENTAL,"Farines, ESPELTA, BLAT DUR, CIGRONS, LLENTIA","CEREALS, LLEGUMINOSES",Venda directa,,,,FRANCESC FERMIN
"MANANTIALES ENTREPINOS, SL",VP/P/1925/2015,X,,B12369153,Aptos APARTADO DE CORREOS 169,12540,VILLARREAL/VILA-REAL,,MANDARINES,CÍTRICS,,Venda circuit curt,681100705,bgrau@citricsterresdelebre.com,CAL XONXO
"MANDARINA BARRUGAT, SCP",VP/P/3222/2019,X,,J55743694,C/ ALCOLEA 18,43510,TORTOSA,BAIX EBRE,"OLIVES, AMETLLES, NOUS, ALTRES FRUITES, ESPECIES AROMATIQUES LLENYOSES, GARROFES, CLEMENTINES, TARONGES, LLIMONES","ALTRES PRODUCTES, CÍTRICS, FRUITA DOLÇA, FRUITS DE CLOSCA, LLEGUMINOSES, NO ADMISSIBLES, OLIVERAR",Venda directa,Venda circuit curt,649378065,mandarinabarrugat@gmail.com,HELPRA AGRICULTURAL
"MANGOT CARULLA, JORDI",VP/P/3083/2019,,X,,,25632,SANT ESTEVE DE LA SARGA,PALLARS JUSSÀ,"PÈSOLS, FAVES I FAVONS",PROTEAGINOSES,Venda directa,,,,
"MANGUES TARROJA, MONTSERRAT",VP/P/2325/2016,,X,,,25614,OS DE BALAGUER,LA NOGUERA,"Vins, caves i vinagres, Olis, Conserves vegetals, sucs, melmelades, fruits secs torrats, BLAT TOU, ORDI, GIRA-SOL, OLIVES, RAÏM VI, CIRERES, TOMÀQUET, FIGUES, MADUIXA, CONREU DE FRUITS DEL BOSC","ALTRES PRODUCTES, CEREALS, FRUITA DOLÇA, HORTÍCOLES, OLEAGINOSES, OLIVERAR, VINYA",Venda directa,Venda circuit curt,,,
"MANONELLES SANS, CB",VP/P/2331/2016,X,,G25386004,Carre Enric Granados 9,25180,ALCARRÀS,SEGRIÀ,"OLIVES, PRÈSSEC, NECTARINA","FRUITA DOLÇA, OLIVERAR",Venda directa,Venda circuit curt,696963541,ruben_masan@hotmail.com,
"MANRESA BIGAS, SANTIAGO",VP/P/0072/2013,,X,,,8490,TORDERA,MARESME,"CIGRONS , MONGETA",LLEGUMINOSES,,Venda circuit curt,,,
"MANSO PALOU, SC",VP/P/0451/2013,X,,J17636838,"CAMI CAMÍ DEL CASTELL, S/N",17530,CAMPDEVÀNOL,RIPOLLÈS,Formatges i altres derivats lactis de llet de cabra,,Venda directa,Venda circuit curt,659504585,mansopalouscp@hotmail.com,LA BESAVIA
"MANSO PALOU, SL",VP/P/2564/2017,X,,B17636838,Cami DEL CASTELL,17530,CAMPDEVÀNOL,RIPOLLÈS,"Formatges i altres derivats lactis de llet de cabra, Carn, embotits i derivats carnis de cabrum, Ous de gallina",NO ADMISSIBLES,Venda directa,Venda circuit curt,695475988,mansopalouscp@hotmail.com,CAL NEGUIT
"MANSOL PROJECTES, SL",VP/P/1626/2014,X,,B66026626,Carre Muntaner,8917,BADALONA,BARCELONÈS,"Conserves vegetals, sucs, melmelades, fruits secs torrats, MELÓ, CEBES, CALÇOTS, PORROS I ALLS, COL I COLIFLOR, ALBERGÍNIA, CARXOFA, TOMÀQUET, ORENGA","ALTRES PRODUCTES, HORTÍCOLES",Venda directa,Venda circuit curt,646258187,carlesomegna@mansol.cat,
"MANUBENS RAMONEDA, JOSE MARIA",VP/P/0649/2013,,X,,,8140,CALDES DE MONTBUI,VALLÈS ORIENTAL,"Carn, embotits i derivats carnis de xai, ORDI, CIVADA, HORTA","CEREALS, HORTÍCOLES",,Venda circuit curt,,,
"MARCE CASAS, JOAN",VP/P/1415/2014,,X,,,8793,AVINYONET DEL PENEDÈS,ALT PENEDÈS,"RAÏM, PRESSECS, POMES, CIRERES, HORTA","FRUITA DOLÇA, HORTÍCOLES, VINYA",Venda directa,,,,
"MARCE CASAS, JOSEP Mª",VP/P/1555/2014,,X,,,8739,AVINYONET DEL PENEDÈS,ALT PENEDÈS,"RAÏM VI, PRESSECS, POMES, CIRERES","FRUITA DOLÇA, VINYA",Venda directa,,,,
"MARCÉ VIA, MARIA ASSUMPCIÓ",VP/P/2807/2018,,X,,,8629,TORRELLES DE LLOBREGAT,BAIX LLOBREGAT,"OLIVES, CIRERES","FRUITA DOLÇA, OLIVERAR",Venda directa,,,,
"MARCET BOVÉ, FRANCESC",VP/P/1104/2013,,X,,,8699,SALDES,BERGUEDÀ,"Carn, embotits i derivats carnis de boví, Carn, embotits i derivats carnis de pollastres/gallina",,Venda directa,Venda circuit curt,,,CAL TONI TRADICIÓ FAMILIAR DESDE 1950
"MARCH HORTONEDA, ANTONIO",VP/P/1282/2013,,X,,,43300,MONT-ROIG DEL CAMP,BAIX CAMP,"Olis, OLIVES, GARROFES","FRUITS DE CLOSCA, OLIVERAR",Venda directa,Venda circuit curt,,,
"MARCHAN GARCIA, FRANCISCO JAVIER",VP/P/3284/2019,,X,,,8440,CÀNOVES I SAMALÚS,VALLÈS ORIENTAL,"OLIVES, AMETLLES, MADUIXA, ESPÀRRECS","FRUITS DE CLOSCA, HORTÍCOLES, OLIVERAR",Venda directa,Venda circuit curt,,,
"MARCHANTE JUANOLA, JOAN",VP/P/2509/2017,,X,,,17856,CASTELLFOLLIT DE LA ROCA,GARROTXA,"Carn, embotits i derivats carnis de pollastres/gallina, Carn, embotits i derivats carnis de cabrum, Carn, embotits i derivats carnis de xai, CIVADA","CEREALS, NO ADMISSIBLES",Venda directa,,,,
"MARCHIORI, MASSIMO",VP/P/2432/2016,,X,,,43884,BONASTRE,BAIX PENEDÉS,"Vins, caves i vinagres, OLIVES, RAÏM VI, HORTA","HORTÍCOLES, OLIVERAR, VINYA",Venda directa,Venda circuit curt,,,LO CORDER DEL PALLARS
"MARCO CAPDEVILA, XAVIER",VP/P/2858/2018,,X,,,25008,LLEIDA,SEGRIÀ,"Olis, OLIVES, HORTA, MAGRANA","FRUITA DOLÇA, HORTÍCOLES, NO ADMISSIBLES, OLIVERAR",Venda directa,,,,
"MARCO NADAL, MIREIA",VP/P/1062/2013,,X,,,25150,ARTESA DE LLEIDA,SEGRIÀ,"Ous de gallina, ALTRES FRUITERS DE LLAVOR",FRUITA DOLÇA,Venda directa,,,,
"MARGALEF LLAURADO, RAFEL",VP/P/1962/2015,,X,,,43580,DELTEBRE,BAIX EBRE,"Altres productes elaborats, ARRÒS",ARRÒS,Venda directa,,,,SONIA FIGUERAS PRATS
"MARGALEF REVERTE, JOSE MARIA",VP/P/2125/2016,,X,,,43540,SANT CARLES DE LA RÀPITA,MONTSIÀ,"Carn, embotits i derivats carnis de cabrum, Carn, embotits i derivats carnis de xai, OLIVES, GARROFES, TARONGES","CÍTRICS, FRUITS DE CLOSCA, OLIVERAR",Venda directa,Venda circuit curt,,,LA PAGESA
"MARGARIT GARCIA, ISIDRO",VP/P/2588/2017,,X,,,8850,GAVÀ,BAIX LLOBREGAT,"PATATA, PEBROT, ENCIAM, CEBES, CALÇOTS, PORROS I ALLS, COL I COLIFLOR, BLEDA, ESPINACS, CARABASSA, RAVE, JULIVERT, ESPARRECS","ALTRES PRODUCTES, HORTÍCOLES",Venda directa,Venda circuit curt,,,FRUITA D'OR
"MARGENAT ESCOBAIRO, JOSEP",VP/P/0678/2013,,X,,,8187,SANTA EULÀLIA DE RONÇANA,VALLÈS ORIENTAL,"Altres productes elaborats, AVELLANA",FRUITS DE CLOSCA,Venda directa,Venda circuit curt,,,CAN FISAS AGROECOLOGIA MOLINS DE REI
"MARGINET COSTA, MARTÍ",VP/P/0260/2013,,X,,,8699,NOU DE BERGUEDÀ,BERGUEDÀ,"Carn, embotits i derivats carnis de boví",NO ADMISSIBLES,,Venda circuit curt,,,MEL FLAVIÀ
"MARIA TERESA, SUCARRAT GONZALEZ",VP/P/2321/2016,,X,,,25130,ALGERRI,LA NOGUERA,"BLAT TOU, ORDI, OLIVES, AMETLLES, NOUS, PÈSOLS","CEREALS, FRUITS DE CLOSCA, NO ADMISSIBLES, OLIVERAR, PROTEAGINOSES",Venda directa,,,,
"MARIEGES BUSQUETS, JUAN",VP/P/1076/2013,,X,,,8840,VILADECANS,BAIX LLOBREGAT,"CIVADA, PRUNES, COL I COLIFLOR, Carxofa","CEREALS, FRUITA DOLÇA, HORTÍCOLES",Venda directa,,,,
"MARIEGES BUSQUETS, MARIA ROSA",VP/P/1071/2013,,X,,,8830,SANT BOI DE LLOBREGAT,BAIX LLOBREGAT,"ORDI, CIVADA, PRUNES, COL I COLIFLOR, Carxofa, FIGUES, FAVES I FAVONS","ALTRES PRODUCTES, CEREALS, FRUITA DOLÇA, HORTÍCOLES, PROTEAGINOSES",Venda directa,,,,MIHAELA
"MARIN VILABURGES, JOSEP MARIA",VP/P/3225/2019,,X,,,8201,SABADELL,VALLÈS OCCIDENTAL,"Olis, OLIVES, AMETLLES","FRUITS DE CLOSCA, OLIVERAR",Venda directa,,,,
"MARMI SERRA, JOSEP MA.",VP/P/1087/2013,,X,,,8600,BERGA,BERGUEDÀ,"Carn, embotits i derivats carnis de boví",CEREALS D'ESTIU,,Venda circuit curt,,,
"MARPONS HORTA, JOSEP",VP/P/2504/2017,,X,,,8358,ARENYS DE MUNT,MARESME,"NOUS, FIGUES , MADUIXA, MONGETA","FRUITA DOLÇA, FRUITS DE CLOSCA, HORTÍCOLES, LLEGUMINOSES",Venda directa,Venda circuit curt,,,FRUTURGELL
"MARQUES ROS, JOSEP MARIA",VP/P/1015/2013,,X,,,8735,VILOBÍ DEL PENEDÈS,ALT PENEDÈS,"Olis, OLIVES, RAÏM VI, CEBA, CALÇOT, PORRO I ALL, TOMÀQUET, FIGUES","FRUITA DOLÇA, HORTÍCOLES, OLIVERAR, VINYA",Venda directa,,,,FRUTURGELL
"MARQUEZ CERVERA, JOSEP MARIA",VP/P/1032/2013,,X,,,8592,SANT MARTÍ DE CENTELLES,OSONA,Mel,,Venda directa,Venda circuit curt,,,
"MARQUEZ TARRES, JOAN",VP/P/1316/2013,,X,,,8370,CALELLA,MARESME,"Altres productes elaborats, TOMÀQUET",HORTÍCOLES,Venda directa,Venda circuit curt,,,
"MARRA POCH, JAUME",VP/P/1570/2014,,X,,,8770,SANT SADURNÍ D'ANOIA,ALT PENEDÈS,"RAÏM, PRESSECS, NECTARINES, PERES, POMES, PRUNES, CEBES, CALÇOTS, PORROS I ALLS, TOMÀQUET","FRUITA DOLÇA, HORTÍCOLES, NO ADMISSIBLES, VINYA",Venda directa,,,,
"MARSINYACH VILA, CARMEN",VP/P/3127/2019,,X,,,25283,ODÈN,SOLSONÈS,"PATATA, PÈSOLS","HORTÍCOLES, PROTEAGINOSES",Venda directa,,,,PRÈSSEC D'ORDAL
"MARTI FONS, GERARDO",VP/P/1678/2014,,X,,,43511,TIVENYS,BAIX EBRE,"OLIVES, CLEMENTINES, SATSUMA, TARONGES, MANDARINES","CÍTRICS, NO ADMISSIBLES, OLIVERAR",Venda directa,,,,
