PROJECTE,URGENT,PRODUCTE(S),MUNICIPI,COM COMPRAR,OBSERVACIONS,CCPAE,COMARCA
Societat Agrícola Siurana,,Oli d'oliva verge extra ecològic Oli d'oliva verge extra DOP Empordà,Siurana d'Empordà,Podreu trobar el nostre oli d'oliva verge extra ecològic i molts altres productes de proximitat a la nostra agrobotiga.,www.agricolasiurana.com,Sí,Alt Empordà
SONS Cosmética Ecologica Artesana,Sí,"Pasta de dientes, champús sólidos, geles de baño sólidos, jabón de afeitar sólido, limpiador facial sólido, tintura de equinacia, tintura de proopoleo, unguento inflamación y dolor, crema de manos sólida, contorno de ojos, crema de día de cara, crema de noche, fortalecedor de pestañas(largas y fuertes), aceites vegetales de: semilla de frambuesa, de semilla de uva, de semilla de granada, argán, ricino, rosa mosqueta, oleato de zanahoria,etc. Compresas de tela, pajitas de beber de acero, cepillo de dientes biodegradable, discos lavables desmaquillantes, esponjas de lufa, etc.",Sant Joan de Mediona,,https://www.facebook.com/SonSoles.SaludyBelleza https://www.instagram.com/dulcesons/,,Alt Penedès
Soulblim,,Fruita i verdura ecològica i Km0 del Parc Agrari del Baix Llobregat,Viladecans,,,Sí,Baix Llobregat
Sències Can Girona Sitges,,"Productors d'horta i amb petita botiga de producte propi i de tercers de fruita i verdura eco, i altres elaborats relacionats: mel, vi, olis, melmelades, sucs, cremes, ...",Sitges,,"En principi tenim producció pròpia i de productors habituals suficient per ara, però si algú té excedents que no pot col.locar que ens contacti que podem mirar de vendre'ls ja que el nostre principal client és consumidor final. https://www.sencies.com/",Sí,Garraf
Tecomate,,"Refresc amb base d'herba mate. Hi ha quatre varietats: Herba mate amb caffeina, Gingebre, Menta i llimona, Cola.",Barcelona,,https://www.instagram.com/tecomatebcn,,Barcelonès
Terra de Burgans,,"hort de temporada, ous, oli verge extra250ml, llauna de litre i llauna de 2lt, ametlla marcona amb closca, garrofes.",El Perelló,watssap: XXXXXXXXX portes obertes a la mateixa finca amb horari especial de confinament de dimecres a dissabte de 11 del mati a 14h de la tarde.,,Sí,Baix Ebre
Terra Mullada,,Fruita i horta de temporada de produccio propia certificada pel CCPAE,"Barcelona Sants, Molins de Rei, Sant Climent de Llobregat, Martorell, Abrera",XXXXXXXXX (Moni),"Som una petita família d agricultores amb Botiga (c/Antoni Capmany 71, Sants) també servim Cistelles eco a l’Agrollavor (c/Foment 4, Molins de Rei) Cultivem Horta i Fruita a Molins de Rei, Sant Climent i Abrera Estem oferint fer la compra via wassap (XXXXXXXXX ) i fem repartiments el dimarts i els dijous a Barcelona i el Baix Llobregat. Així que et preguem ens facis comanda el dia abans. Costos d'enviament: Fins a 40€, 3€; més de 40€, 5€ Per qualsevol dubte i enviant el nom; el que desitges; La manera de pagament i la teva adreça i hores en què t ho podem entregar. Pots fer el pagament amb targeta o fer un Bizum al telèfon del la Moni",Pots veure els horts i a la nostra família seguint-nos al Facebook Twiter i Instagram de Terra Mullada Si t'interessa diga'ns i t'enviem el llistat del productes i preus dels que disposem.,Baix Llobregat
Terraivent,,"De Maig a Novembre: Fruita dolça (pruna, albercoc, préssec, nectarina, poma, pera) Tot l'any: Anous Tot l'any: Oli",Vilaplana,"Punts de venda actuals: cooperativa El Brot (reus), botiga Vilaplana, La Bajoca (Valls)",@terraivent,Sí,Baix Camp
The Basement,Sí,Setas,Barcelona,"disponible per comprar a glovo, la colmena que dici si, subscripció al nostre lloc web","Som una granja urbana de Barcelona, ''vam començar a operar al gener i el coronavirus ha retardat notablement els nostres avenços. Som creients forts en la producció sostenible, ecològica i local, i ens agradaria ser inclosos a la vostra llista. Us desitgem el millor en aquests temps tan bojos Thebasement.farm",En conversió,Barcelona
Tomàting,,Tomàquets Cistelles ecològiques Muntatge i assessorament horts urbans,Sallent,Contactar per whatsapp al XXXXXXXXX ,,Sí,Bages
Tres Cadires SCCL,Sí,"Licors artesans (Vi de nous, ratafia, patxaran, licor de taronja)",Arbeca,,"Comunitat Corresponsable com a mecanisme per una implicació producció-consum que desafiï, entre d'altres, crisis com aquesta. http://www.trescadires.cat/comunitat",,Garrigues
Tresors del Cadí,,Horta ecològica,Cava (Ansovell),,www.tresorsdelcadi.cat,Sí,Alt Urgell
Un món a granel,,"Tota mena de productes bio eco sostenibles. Desde llegums, fruita seca, arrossos, sucres, mel, flocs , fins a menatge de la llar, rentavaixelles, detergents per tot tipus de roba, desengreixant, vitroceràmica. Cosmètica natural, vegana artesnal, sabó de cos i xampú sòlid ecologi artesanal i pròxims i més productes que respecten la sostenibilitat, l'ecologia, la proximitat i el comerç just .",Terrassa,"Es pot recollir al mateix local un cop feta la comanda. També repartim a domicili per un import superior a 30 a localitats properes a Terrassa, com Sabadell, Sant Quirze, Viladecavalls, Vacarisses, Cerdanyola , Ripollet, Rubí i Sant Cugat. Per localitats més llunyanes cal consultar primer. El producte està a la plana web i la forma de pagament és contra reemborsament.",http://unmonagranel.cat,,Vallès Occidental
Un Sol Cel,,Vins,Albinyana,,,,Baix Penedès
Vedella ecològica,Sí,Caixes de 5kg i 10kg de vedella ecològica,"Cardona, Manresa, Suria, Terrassa","Dijous dia 26 de març repartirem vedella a Cardona, Suria, Manresa i Barcelona.",Per més informació us deixo el número de contacte: XXXXXXXXX .,Sí,Bages
Verdulea,,Hortalissa i fruita ecològica de temporada,La Roca del Vallès,"Punts de recollida i domicili els dimecres a la tarda a Gualba, Riells i Viabrea, Sant Celoni, Santa Maria de Palautordera, Santa Agnès de Malanyanes. Formulari de Google form per fer la comanda.",www.verdulea.pagesosagroecologics.com,Sí,Vallès Oriental
Verdura ecològica Josep Pasqual Esteller,Sí,Horta de temporada Fruita de temporada,Sant Joan Despí,Carrer torrent del Negre 12 Obert de 18 a 20,,Sí,Baix Llobregat
Vitae Kombucha,Sí,Kombutxes de diferents sabors. Elaborades seguint el mètode tradicional i de forma artesanal.,Pineda de Mar,https://tienda.vitaekombucha.com/ Atraves de la botiga on line.,https://vitaekombucha.com/,Sí,Maresme
Xai de Can Picola,,Xai sencer tallat,Ogassa,Fes la teva comanda el dimarts i el divendres tarda o dissabte mati el pots recollir,Xai de dos messos i mig alimentat de la llet de la mare durant tot el periode i complementan l'alimentacio amb cereals i ferratge.,,Ripollès
"Xai, llet, porc del Soler de n'Hug",,"Carn de xai, carn i elaborats de poc i llet pasteuritzada",Prats de Lluçanès,"Granja pròpia, elaborem a la botiga situada al municipi, venda presencial i amb possibilitat de servir a domicili",Www.elsoler.cat,,Lluçanès
Xais I Cabrits Canyelles,Sí,Xai ecològic Cabrit ecològic,Canovelles,"Oferim la recollida del producte a la pròpia explotació i servei a domicili als pobles següents: Bigues, Santa Eulàlia de Ronçana, Lliçà d'Amunt, Lliçà de Vall, Canovelles, Granollers, Les Franqueses del Vallès, l'Ametlla del Vallès i la Garriga. Les comandes es poden fer qualsevol dia a qualsevol hora per telèfon/whatsapp (XXXXXXXXX ) o per email (xxxx@xxxxx.com).","Es fa la venta de 1/2 xai ecològic o 1 xai ecològic sencer. La carn pot ser tallada a gust del consumidor: per fer a la brasa, al forn, etc. Principalment les entregues a domicili es concentren els dijous i divendres i les comandes hauríen de ser amb una setmana d'antel·lació. Instagram: @xaisicabritscanyelles Facebook: /xaisicabritscanyelles",Sí,Vallès Oriental
